Surname,FirstName,Dates,Locality,Reel,Item,Remarks,ID
BUTLER,Henry Cavendish Danvers,25 May 1831-30 Dec 1835,"Bathurst, Belubula River, Brisbane Water, Castle Hill, Colo River, Cullen Bullen, Cudjegong, Liverpool, Macdonald River, Mudgee, Parramatta, Pipers Flat,Sydney, Wellington, Windsor",3057,[2/1519],,20
BUTLER,Henry Cavendish Danvers,7Jan 1836-21 Jun 1838,"Bathurst, Belubula River, Brisbane Water, Castle Hill, Colo River, Cullen Bullen, Cudjegong, Liverpool, Macdonald River, Mudgee, Parramatta, Pipers Flat,Sydney, Wellington, Windsor",3057,[2/1520],,21
CAMPBELL,Patrick F,1 Sep 1827-29 Mar 1830,Wallis Plains,3057,[2/1521.1],,22
CARMICHAEL,Henry,4 Oct 1849-8 Oct 1855,"Aberdeen, Camberwell, Clarence, Dungog, Manning River, Merriwa, Murrurundi, Page River, Raymond Terrace, Seaham, Tinonee",3058,[2/1521.2],,23
CAVENAGH,Philip,17 Nov 1825,Hobart,3058,[2/1521.3],,24
CHARLTON,Horace,"Jul 1844, 31 Aug 1848-31 Dec 1851","Alnwick, Blackheath, Bowenfels, Colo River, Fish River, Hartley, Hassans Walls, Kanimbla Valley, Kurrajong, Lisdale, Maitland, Megalong Valley, Mt Victoria, Newcastle, Putty, St Albans, St Leonards, Wollombi",3058,[2/1522],,26
CHARLTON,Horace,17 Feb 1851-6 Dec 1855,"Alnwick, Blackheath, Bowenfels, Colo River, Fish River, Hartley, Hassans Walls, Kanimbla Valley, Kurrajong, Lisdale, Maitland, Megalong Valley, Mt Victoria,Newcastle, Putty, St Albans, St Leonards, Wollombi",3059,[2/1523],,27
COX,C B,14 Jun 1855-23 Oct 1855,"Bathurst, Orange, Wellington",3058,[2/1521.4],,25
CROUDACE,Henry,20 Mar 1852-5 Nov 1855,"Roads- Sydney – Illawarra, Sydney - Wollombi",3059,[2/1524],,28
D’ARCY,Frederick R,"31 May 1830-8 Dec 1831, 12 Apr 1832, 6 Jun 1833-22 Aug 1835, 25 Jun 1836-14 Jul 1836,17 Dec 1845, 7 Aug 1847, 8 Mar 1849, 25 Aug 1851, 25 Oct 1852-29 Nov 1855","Bathurst, Bowenfels, Colo River, Dabee, Emu Plains, Hartley, Hay, Hawkesbury River, Port Macquarie, Wollemi",3060,[2/1526.2],,31
DALGETY,Samuel G,"23 Jul 1838- 8 Nov 1843, 9 Aug 1845, 27 Mar 1848-25 Oct 1848, 9 Aug 1849, 7 Aug1850, 19 Sep 1851-13 Jan 1852","Brisbane Water, Cattai, Dural, Gosford, Hartley, Lane Cove, Lower Hawkesbury, Macdonald River, Mangrove Ck., Pittwater, St Albans, St Leonards",3059,[2/1525],,29
DANGAR,Henry,"28 Mar 1822-20 Aug 1824, 6 Jan 1826-13 Mar 1827, 9 Jul 1831, 7 Apr 1834, 5 Jun1843, 13 Jan 1848-22 Jul 1848, 5 Sep 1850-27 Sep 1851","Hunter River, Newcastle, Port Stephens",3060,[2/1526.1],,30
DARKE,William Wedge,"17 Feb 1836-6 Mar 1836, 20 Jan 1843-31 Dec 1850, 12 Feb 1853-18 Dec 1855","Bathurst, Clarence River, Grafton, Illawarra Road, Kempsey, Sydney, Tabulan",3060,[2/1527],,32
DAVIDSON,Walker R,"25 Apr 1833, 3 Jul 1833, 25 Aug 1835-19 Nov 1835, 14 Jul 1836, 9 Feb 1837-30 Dec 1839","Abercrombie Caves, Bathurst, Bogan River, Carcoar, Darling River, Hartley, Kelso, Molong, Mudgee, Orange, Rylstone, Wellington",3061,[2/1528],,33
DAVIDSON,Walker R,24 Jan 1840-26 Dec 1846,"Abercrombie Caves, Bathurst, Bogan River, Carcoar, Darling River, Hartley, Kelso, Molong, Mudgee, Orange, Rylstone, Wellington",3061,[2/1529],,34
DAVIDSON,Walker R,19 Jan 1847-31 Dec 1855,,3062,[2/1530.1],,35
DEBENHAM,John,18 Jul 1853-14 Dec 1855,"Aberdeen, Dartbrook, Denman, Murrurundi, Muswellbrook, Picton, Scone",3062,[2/1530.2],,36
DIXON,Arthur,22 Dec 1852-8 Aug 1853,"St Georges River, Road to the Illawarra",3062,[2/1531.1],,37
